"","times","sims","name","rank"
"vol plu.61",4150,0.341400623409796,"vol plu","genus"
"vol plu.71",4650,0.0585558561712406,"vol plu","genus"
"tuk plu.11",150,0,"tuk plu","genus"
"tuk plu.21",650,0.0121961447546902,"tuk plu","genus"
"tuk plu.31",1150,0,"tuk plu","genus"
"tuk plu.41",2150,0,"tuk plu","genus"
"tuk plu.51",3150,0,"tuk plu","genus"
"tuk plu.61",3650,0.0107539764142086,"tuk plu","genus"
"tuk plu.71",4150,0,"tuk plu","genus"
"aro plu.11",150,0,"aro plu","genus"
"aro plu.21",650,0,"aro plu","genus"
"aro plu.31",1150,0.00422606693139715,"aro plu","genus"
"aro plu.41",1650,0,"aro plu","genus"
"aro plu.51",2650,0,"aro plu","genus"
"aro plu.61",3150,0,"aro plu","genus"
"aro plu.71",4650,0,"aro plu","genus"
"lot plu.11",150,0,"lot plu","genus"
"lot plu.21",650,0.00213503594168185,"lot plu","genus"
"lot plu.31",1150,0,"lot plu","genus"
"lot plu.41",1650,0,"lot plu","genus"
"lot plu.51",2150,0,"lot plu","genus"
"lot plu.61",2650,0,"lot plu","genus"
"lot plu.71",3150,0.117451704662057,"lot plu","genus"
"lot plu.8",3650,0.0426262071523272,"lot plu","genus"
"lot plu.9",4150,0.124727609828921,"lot plu","genus"
"lot plu.10",4650,0.0349705712027447,"lot plu","genus"
"lan plu.11",650,0.00137399373052283,"lan plu","genus"
"lan plu.21",1150,0.0149951963271765,"lan plu","genus"
"lan plu.31",1650,0.0197845041005709,"lan plu","genus"
"lan plu.41",2650,0.384029886713274,"lan plu","genus"
"lan plu.51",3150,0.195757151032782,"lan plu","genus"
"lan plu.61",3650,0.212685438858903,"lan plu","genus"
"lan plu.71",4150,0.246761915496419,"lan plu","genus"
"lan plu.81",4650,0.234349803128541,"lan plu","genus"
"lou plu.11",650,0.558078004968885,"lou plu","genus"
"lou plu.21",1150,0.0881295382612551,"lou plu","genus"
"lou plu.31",1650,0.023213236464571,"lou plu","genus"
"lou plu.41",2150,0.0785821300169143,"lou plu","genus"
"lou plu.51",2650,0.0593270477294163,"lou plu","genus"
"lou plu.61",3150,0.0834076861260936,"lou plu","genus"
"lou plu.71",3650,0.237420813023167,"lou plu","genus"
"lou plu.81",4150,0.174734247027889,"lou plu","genus"
"lou plu.91",4650,0.209078364406667,"lou plu","genus"
"ano plu.11",1650,0.0612955171757684,"ano plu","genus"
"ano plu.21",2150,0.102215321114167,"ano plu","genus"
"ano plu.31",2650,0.0671641791044779,"ano plu","genus"
"ano plu.41",3150,0.0280194741831564,"ano plu","genus"
"ano plu.51",3650,0.207758997811471,"ano plu","genus"
"ano plu.61",4150,0.0546448087431693,"ano plu","genus"
"ano plu.71",4650,0.126799052650756,"ano plu","genus"
"ngo bon.11",150,0.101592790087515,"ngo bon","genus"
"ngo bon.21",650,0.255286553029584,"ngo bon","genus"
"ngo bon.31",1150,0.159118434472605,"ngo bon","genus"
"ngo bon.41",1650,0.24290587868928,"ngo bon","genus"
"ngo bon.51",2150,0.147433355128951,"ngo bon","genus"
"ngo bon.61",2650,0.0624469723450619,"ngo bon","genus"
"ngo bon.71",3150,0.0898261825290801,"ngo bon","genus"
"ngo bon.81",3650,0.0719602282869476,"ngo bon","genus"
"ngo bon.91",4150,0.0682722167130617,"ngo bon","genus"
"ava bon.11",150,0.328327046716992,"ava bon","genus"
"ava bon.21",650,0.293360395569279,"ava bon","genus"
"ava bon.31",1150,0.275212681752633,"ava bon","genus"
"ava bon.41",1650,0.0750989613174603,"ava bon","genus"
"ava bon.51",2150,0.112361593162431,"ava bon","genus"
"ava bon.61",2650,0.0552280007055732,"ava bon","genus"
"ava bon.71",3150,0.1125249500998,"ava bon","genus"
"ava bon.81",4150,0.0897634299662795,"ava bon","genus"
"wai bon.11",150,0,"wai bon","genus"
