,times,sims,name,group,type,order
5710,4650,0.122720444,vol aro,neither,Standardisation 2,neither (Stand. 2)
7010,4650,0.018441302,tag aro,neither,Standardisation 2,neither (Stand. 2)
7610,4650,0.03975381,lou aro,neither,Standardisation 2,neither (Stand. 2)
821,4650,0.004567067,lan aro,neither,Standardisation 2,neither (Stand. 2)
861,4650,0.071428571,ano aro,neither,Standardisation 2,neither (Stand. 2)
931,4150,0.009367681,wai ngo,neither,Standardisation 2,neither (Stand. 2)
941,4650,0.012765957,wai ngo,neither,Standardisation 2,neither (Stand. 2)
1001,3650,0.030927835,tuk ngo,neither,Standardisation 2,neither (Stand. 2)
1011,4150,0.043500522,tuk ngo,neither,Standardisation 2,neither (Stand. 2)
1091,3650,0.005212465,yac ngo,neither,Standardisation 2,neither (Stand. 2)
1101,4150,0.006469974,yac ngo,neither,Standardisation 2,neither (Stand. 2)
1181,4150,0.202789573,ava ngo,neither,Standardisation 2,neither (Stand. 2)
1191,4650,0.17136534,ava ngo,neither,Standardisation 2,neither (Stand. 2)
1271,3650,0.1808466,plu ngo,neither,Standardisation 2,neither (Stand. 2)
1281,4150,0.063071818,plu ngo,neither,Standardisation 2,neither (Stand. 2)
1291,4650,0.161184359,plu ngo,neither,Standardisation 2,neither (Stand. 2)
1371,3650,0.006872219,lot ngo,neither,Standardisation 2,neither (Stand. 2)
1381,4150,0,lot ngo,neither,Standardisation 2,neither (Stand. 2)
1391,4650,0.013075107,lot ngo,neither,Standardisation 2,neither (Stand. 2)
1471,3650,0.078995962,fin ngo,neither,Standardisation 2,neither (Stand. 2)
1481,4150,0.029375169,fin ngo,neither,Standardisation 2,neither (Stand. 2)
1491,4650,0.070479128,fin ngo,neither,Standardisation 2,neither (Stand. 2)
1561,3650,0.040022798,vol ngo,neither,Standardisation 2,neither (Stand. 2)
1571,4150,0.031747312,vol ngo,neither,Standardisation 2,neither (Stand. 2)
1581,4650,0.087598519,vol ngo,neither,Standardisation 2,neither (Stand. 2)
1661,3650,0.082552433,bon ngo,neither,Standardisation 2,neither (Stand. 2)
1671,4150,0.055859804,bon ngo,neither,Standardisation 2,neither (Stand. 2)
1751,3650,0.038434943,tag ngo,neither,Standardisation 2,neither (Stand. 2)
1761,4150,0.080463754,tag ngo,neither,Standardisation 2,neither (Stand. 2)
1771,4650,0.115416017,tag ngo,neither,Standardisation 2,neither (Stand. 2)
1841,3650,0.213367657,lou ngo,neither,Standardisation 2,neither (Stand. 2)
1851,4150,0.219743957,lou ngo,neither,Standardisation 2,neither (Stand. 2)
1861,4650,0.283982885,lou ngo,neither,Standardisation 2,neither (Stand. 2)
1921,3650,0.113788636,lan ngo,neither,Standardisation 2,neither (Stand. 2)
1931,4150,0.120688082,lan ngo,neither,Standardisation 2,neither (Stand. 2)
1941,4650,0.1044582,lan ngo,neither,Standardisation 2,neither (Stand. 2)
1991,3650,0.159744827,ano ngo,neither,Standardisation 2,neither (Stand. 2)
2001,4150,0.259643746,ano ngo,neither,Standardisation 2,neither (Stand. 2)
2011,4650,0.099003621,ano ngo,neither,Standardisation 2,neither (Stand. 2)
2071,4150,0.018735363,tuk wai,neither,Standardisation 2,neither (Stand. 2)
2141,4150,0,yac wai,neither,Standardisation 2,neither (Stand. 2)
2211,4150,0.004098361,ava wai,neither,Standardisation 2,neither (Stand. 2)
2221,4650,0.004255319,ava wai,neither,Standardisation 2,neither (Stand. 2)
2291,4150,0.016393443,plu wai,neither,Standardisation 2,neither (Stand. 2)
2301,4650,0.021276596,plu wai,neither,Standardisation 2,neither (Stand. 2)
2371,4150,0,lot wai,neither,Standardisation 2,neither (Stand. 2)
2381,4650,0,lot wai,neither,Standardisation 2,neither (Stand. 2)
2451,4150,0,fin wai,neither,Standardisation 2,neither (Stand. 2)
2461,4650,0,fin wai,neither,Standardisation 2,neither (Stand. 2)
2521,4150,0.003555556,vol wai,neither,Standardisation 2,neither (Stand. 2)
2531,4650,0.000481,vol wai,neither,Standardisation 2,neither (Stand. 2)
2601,4150,0.028103044,bon wai,neither,Standardisation 2,neither (Stand. 2)
2671,4150,0.027177597,tag wai,neither,Standardisation 2,neither (Stand. 2)
2681,4650,0.020182492,tag wai,neither,Standardisation 2,neither (Stand. 2)
2741,4150,0.018735363,lou wai,neither,Standardisation 2,neither (Stand. 2)
2751,4650,0.02822068,lou wai,neither,Standardisation 2,neither (Stand. 2)
2801,4150,0.013025391,lan wai,neither,Standardisation 2,neither (Stand. 2)
2811,4650,0.002314815,lan wai,neither,Standardisation 2,neither (Stand. 2)
2851,4150,0.016393443,ano wai,neither,Standardisation 2,neither (Stand. 2)
2861,4650,0.132218845,ano wai,neither,Standardisation 2,neither (Stand. 2)
2921,3650,0.005154639,yac tuk,neither,Standardisation 2,neither (Stand. 2)
2931,4150,0.005882353,yac tuk,neither,Standardisation 2,neither (Stand. 2)
2991,4150,0.056910932,ava tuk,neither,Standardisation 2,neither (Stand. 2)
3051,3650,0.020180899,plu tuk,neither,Standardisation 2,neither (Stand. 2)
3061,4150,0.040540541,plu tuk,neither,Standardisation 2,neither (Stand. 2)
3121,3650,0.005154639,lot tuk,neither,Standardisation 2,neither (Stand. 2)
3131,4150,0,lot tuk,neither,Standardisation 2,neither (Stand. 2)
3191,3650,0,fin tuk,neither,Standardisation 2,neither (Stand. 2)
3201,4150,0,fin tuk,neither,Standardisation 2,neither (Stand. 2)
3261,3650,0.030380744,vol tuk,neither,Standardisation 2,neither (Stand. 2)
3271,4150,0.02340518,vol tuk,neither,Standardisation 2,neither (Stand. 2)
3331,3650,0.053772665,bon tuk,neither,Standardisation 2,neither (Stand. 2)
3341,4150,0.040055068,bon tuk,neither,Standardisation 2,neither (Stand. 2)
3401,3650,0.037467722,tag tuk,neither,Standardisation 2,neither (Stand. 2)
3411,4150,0.093376985,tag tuk,neither,Standardisation 2,neither (Stand. 2)
3461,3650,0.060409565,lou tuk,neither,Standardisation 2,neither (Stand. 2)
3471,4150,0.076286669,lou tuk,neither,Standardisation 2,neither (Stand. 2)
3511,3650,0.025773196,lan tuk,neither,Standardisation 2,neither (Stand. 2)
3521,4150,0.038871534,lan tuk,neither,Standardisation 2,neither (Stand. 2)
