"","times","sims","name","rank"
"tag ava.21",650,0.100204939386571,"tag ava","genus"
"tag ava.31",1150,0.0935288822234882,"tag ava","genus"
"tag ava.41",1650,0.250472769685491,"tag ava","genus"
"tag ava.51",2150,0.278945535620737,"tag ava","genus"
"tag ava.61",2650,0.22085207867731,"tag ava","genus"
"tag ava.71",3150,0.120966678630103,"tag ava","genus"
"tag ava.81",4150,0.163113609686212,"tag ava","genus"
"tag ava.91",4650,0.17684094021568,"tag ava","genus"
"lou ava.11",650,0,"lou ava","genus"
"lou ava.21",1150,0.00119528119848167,"lou ava","genus"
"lou ava.31",1650,0,"lou ava","genus"
"lou ava.41",2150,0.00552500871166384,"lou ava","genus"
"lou ava.51",2650,0.0100953973851156,"lou ava","genus"
"lou ava.61",3150,0,"lou ava","genus"
"lou ava.71",4150,0.0458970644135435,"lou ava","genus"
"lou ava.81",4650,0.0104790473431835,"lou ava","genus"
"lan ava.11",650,0.334408342558076,"lan ava","genus"
"lan ava.21",1150,0.319146991352062,"lan ava","genus"
"lan ava.31",1650,0.322389975953816,"lan ava","genus"
"lan ava.41",2650,0.230869698932411,"lan ava","genus"
"lan ava.51",3150,0.175951454971351,"lan ava","genus"
"lan ava.61",4150,0.167503305289324,"lan ava","genus"
"lan ava.71",4650,0.309642287559325,"lan ava","genus"
"ano ava.11",1650,0.087889565186419,"ano ava","genus"
"ano ava.21",2150,0.13727247924543,"ano ava","genus"
"ano ava.31",2650,0.0793172046460888,"ano ava","genus"
"ano ava.41",3150,0.0178178873076478,"ano ava","genus"
"ano ava.51",4150,0.0134128692951184,"ano ava","genus"
"ano ava.61",4650,0,"ano ava","genus"
"lot plu.11",150,0,"lot plu","genus"
"lot plu.21",650,0.0022082951808613,"lot plu","genus"
"lot plu.31",1150,0,"lot plu","genus"
"lot plu.41",1650,0,"lot plu","genus"
"lot plu.51",2150,0,"lot plu","genus"
"lot plu.61",2650,0,"lot plu","genus"
"lot plu.71",3150,0.165148439773342,"lot plu","genus"
"lot plu.81",3650,0.0711157095833009,"lot plu","genus"
"lot plu.91",4150,0.150172948937936,"lot plu","genus"
"lot plu.101",4650,0.040051159283816,"lot plu","genus"
"fin plu.11",150,0.00303811275539256,"fin plu","genus"
"fin plu.21",650,0.00357840881283911,"fin plu","genus"
"fin plu.31",1150,0.0143244459717119,"fin plu","genus"
"fin plu.41",1650,0.00938492893210729,"fin plu","genus"
"fin plu.51",2150,0.0823932032700901,"fin plu","genus"
"fin plu.61",2650,0,"fin plu","genus"
"fin plu.71",3150,0,"fin plu","genus"
"fin plu.81",3650,0.0679872653724035,"fin plu","genus"
"fin plu.91",4150,0,"fin plu","genus"
"fin plu.101",4650,0.0422379727127657,"fin plu","genus"
"vol plu.11",150,0.00421003429377154,"vol plu","genus"
"vol plu.21",650,0.0016048465881271,"vol plu","genus"
"vol plu.31",1150,0.0156932946013242,"vol plu","genus"
"vol plu.41",2150,0.141595248119781,"vol plu","genus"
"vol plu.51",2650,0.675905983706339,"vol plu","genus"
"vol plu.61",3150,0.584999492641433,"vol plu","genus"
"vol plu.71",3650,0.133084513092842,"vol plu","genus"
"vol plu.81",4150,0.0457730074531016,"vol plu","genus"
"vol plu.91",4650,0.0753883480880897,"vol plu","genus"
"bon plu.11",150,0.032210634665066,"bon plu","genus"
"bon plu.21",650,0.00911258244799629,"bon plu","genus"
"bon plu.31",1150,0.0583290256628992,"bon plu","genus"
"bon plu.41",1650,0.122168842941255,"bon plu","genus"
"bon plu.51",2150,0.209223821699563,"bon plu","genus"
"bon plu.61",2650,0.0280290858419152,"bon plu","genus"
"bon plu.71",3150,0.111633381840303,"bon plu","genus"
"bon plu.81",3650,0.0741251326336354,"bon plu","genus"
"bon plu.91",4150,0.0799639801891038,"bon plu","genus"
"tag plu.11",150,0.0724717928388039,"tag plu","genus"
"tag plu.21",650,0.0435518654985322,"tag plu","genus"
"tag plu.31",1150,0.179051300287667,"tag plu","genus"
"tag plu.41",1650,0.0841296949294762,"tag plu","genus"
"tag plu.51",2150,0.147833360055644,"tag plu","genus"
"tag plu.61",2650,0.658923024108343,"tag plu","genus"
"tag plu.71",3150,0.528350476121982,"tag plu","genus"
"tag plu.81",3650,0.56566840149746,"tag plu","genus"
"tag plu.91",4150,0.40198701927596,"tag plu","genus"
"tag plu.101",4650,0.377406783187392,"tag plu","genus"
"lou plu.11",650,0.681115857760977,"lou plu","genus"
"lou plu.21",1150,0.18031730546724,"lou plu","genus"
"lou plu.31",1650,0.114880703872879,"lou plu","genus"
"lou plu.41",2150,0.22708445366884,"lou plu","genus"
"lou plu.51",2650,0.0910660633815269,"lou plu","genus"
"lou plu.61",3150,0.106036789982757,"lou plu","genus"
"lou plu.71",3650,0.192649175970824,"lou plu","genus"
"lou plu.81",4150,0.189237682607779,"lou plu","genus"
"lou plu.91",4650,0.329441869304007,"lou plu","genus"
"lan plu.11",650,0.00137644403908066,"lan plu","genus"
"lan plu.21",1150,0.0153177402393621,"lan plu","genus"
"lan plu.31",1650,0.0197718633337964,"lan plu","genus"
"lan plu.41",2650,0.384029886713274,"lan plu","genus"
"lan plu.51",3150,0.196229282592859,"lan plu","genus"
"lan plu.61",3650,0.212685438858903,"lan plu","genus"
"lan plu.71",4150,0.246761915496419,"lan plu","genus"
"lan plu.81",4650,0.234349803128541,"lan plu","genus"
"ano plu.11",1650,0.061256290689174,"ano plu","genus"
"ano plu.21",2150,0.102210254193844,"ano plu","genus"
"ano plu.31",2650,0.0671641791044779,"ano plu","genus"
"ano plu.41",3150,0.0281721719039263,"ano plu","genus"
"ano plu.51",3650,0.207758997811471,"ano plu","genus"
"ano plu.61",4150,0.0546448087431693,"ano plu","genus"
"ano plu.71",4650,0.126799052650756,"ano plu","genus"
"fin lot.11",150,0.25887443643779,"fin lot","genus"
"fin lot.21",650,0.406002741683475,"fin lot","genus"
"fin lot.31",1150,0.270022544412521,"fin lot","genus"
"fin lot.41",1650,0.154943462035154,"fin lot","genus"
"fin lot.51",2150,0.178056171081682,"fin lot","genus"
"fin lot.61",2650,0,"fin lot","genus"
"fin lot.71",3150,0,"fin lot","genus"
"fin lot.81",3650,0.262120217518366,"fin lot","genus"
"fin lot.91",4150,0.638869377590194,"fin lot","genus"
"fin lot.101",4650,0.580749968682775,"fin lot","genus"
"vol lot.11",150,0,"vol lot","genus"
"vol lot.21",650,0.0579668003544631,"vol lot","genus"
"vol lot.31",1150,0,"vol lot","genus"
"vol lot.41",2150,0.0275337542285408,"vol lot","genus"
"vol lot.51",2650,0.0735998146790791,"vol lot","genus"
"vol lot.61",3150,0.0892538389459485,"vol lot","genus"
"vol lot.71",3650,0.136597824522622,"vol lot","genus"
"vol lot.81",4150,0.040880829062554,"vol lot","genus"
"vol lot.91",4650,0.175126086897211,"vol lot","genus"
"bon lot.11",150,0,"bon lot","genus"
"bon lot.21",650,0.0838023288310854,"bon lot","genus"
"bon lot.31",1150,0,"bon lot","genus"
"bon lot.41",1650,0,"bon lot","genus"
"bon lot.51",2150,0.0151477653340437,"bon lot","genus"
"bon lot.61",2650,0,"bon lot","genus"
"bon lot.71",3150,0.074748019143088,"bon lot","genus"
"bon lot.81",3650,0.00733569704516757,"bon lot","genus"
"bon lot.91",4150,0.014413913979657,"bon lot","genus"
"tag lot.11",150,0,"tag lot","genus"
"tag lot.21",650,0.0296467654186188,"tag lot","genus"
"tag lot.31",1150,0.00322794734398946,"tag lot","genus"
"tag lot.41",1650,0.00484574595072695,"tag lot","genus"
"tag lot.51",2150,0,"tag lot","genus"
"tag lot.61",2650,0,"tag lot","genus"
"tag lot.71",3150,0.0145205385338274,"tag lot","genus"
"tag lot.81",3650,0.0795482159009214,"tag lot","genus"
"tag lot.91",4150,0.167326633267742,"tag lot","genus"
"tag lot.101",4650,0.0390145125641068,"tag lot","genus"
"lou lot.11",650,0,"lou lot","genus"
"lou lot.21",1150,0,"lou lot","genus"
"lou lot.31",1650,0,"lou lot","genus"
"lou lot.41",2150,0,"lou lot","genus"
"lou lot.51",2650,0,"lou lot","genus"
"lou lot.61",3150,0.0448225115435059,"lou lot","genus"
"lou lot.71",3650,0.0048206710594989,"lou lot","genus"
"lou lot.81",4150,0.0170807875188195,"lou lot","genus"
"lou lot.91",4650,0.00813241632587247,"lou lot","genus"
"lan lot.11",650,0.108689175350716,"lan lot","genus"
"lan lot.21",1150,0,"lan lot","genus"
"lan lot.31",1650,0,"lan lot","genus"
"lan lot.41",2650,0,"lan lot","genus"
"lan lot.51",3150,0.258761584676969,"lan lot","genus"
"lan lot.61",3650,0.0740951864229826,"lan lot","genus"
"lan lot.71",4150,0.197608054220263,"lan lot","genus"
"lan lot.81",4650,0.0483983889168411,"lan lot","genus"
"ano lot.11",1650,0,"ano lot","genus"
"ano lot.21",2150,0,"ano lot","genus"
"ano lot.31",2650,0,"ano lot","genus"
"ano lot.41",3150,0.017300871499124,"ano lot","genus"
"ano lot.51",3650,0,"ano lot","genus"
"ano lot.61",4150,0,"ano lot","genus"
"ano lot.71",4650,0,"ano lot","genus"
"vol fin.11",150,0.0492634295614784,"vol fin","genus"
"vol fin.21",650,0.0787255107738135,"vol fin","genus"
"vol fin.31",1150,0.0364929154008392,"vol fin","genus"
"vol fin.41",2150,0.0614787179485821,"vol fin","genus"
"vol fin.51",2650,0,"vol fin","genus"
"vol fin.61",3150,0,"vol fin","genus"
"vol fin.71",3650,0.0725216588910822,"vol fin","genus"
"vol fin.81",4150,0.0337742685046125,"vol fin","genus"
"vol fin.91",4650,0.0703819933086085,"vol fin","genus"
"bon fin.11",150,0.0645263138083869,"bon fin","genus"
"bon fin.21",650,0.0842887350668641,"bon fin","genus"
"bon fin.31",1150,0.0361077566529279,"bon fin","genus"
"bon fin.41",1650,0.0134962782329812,"bon fin","genus"
"bon fin.51",2150,0.045097284528411,"bon fin","genus"
"bon fin.61",2650,0,"bon fin","genus"
"bon fin.71",3150,0,"bon fin","genus"
"bon fin.81",3650,0.0334045774168911,"bon fin","genus"
"bon fin.91",4150,0,"bon fin","genus"
"tag fin.11",150,0.0948448398646567,"tag fin","genus"
"tag fin.21",650,0.0379075869434427,"tag fin","genus"
"tag fin.31",1150,0.0500389169114162,"tag fin","genus"
"tag fin.41",1650,0.0613459872908684,"tag fin","genus"
"tag fin.51",2150,0.0462621537409381,"tag fin","genus"
"tag fin.61",2650,0,"tag fin","genus"
"tag fin.71",3150,0,"tag fin","genus"
"tag fin.81",3650,0.0489717298448372,"tag fin","genus"
"tag fin.91",4150,0,"tag fin","genus"
"tag fin.101",4650,0.0412088772663751,"tag fin","genus"
"lou fin.11",650,0,"lou fin","genus"
"lou fin.21",1150,0.00111282080720509,"lou fin","genus"
"lou fin.31",1650,0,"lou fin","genus"
"lou fin.41",2150,0.00480901961788915,"lou fin","genus"
"lou fin.51",2650,0,"lou fin","genus"
"lou fin.61",3150,0,"lou fin","genus"
"lou fin.71",3650,0.0402887419366829,"lou fin","genus"
"lou fin.81",4150,0,"lou fin","genus"
"lou fin.91",4650,0.00753718354246502,"lou fin","genus"
"lan fin.11",650,0.338321024110121,"lan fin","genus"
"lan fin.21",1150,0.0468415674437571,"lan fin","genus"
"lan fin.31",1650,0.0722086101465631,"lan fin","genus"
"lan fin.41",2650,0,"lan fin","genus"
"lan fin.51",3150,0,"lan fin","genus"
"lan fin.61",3650,0.112140631426336,"lan fin","genus"
"lan fin.71",4150,0.0364030496945679,"lan fin","genus"
"lan fin.81",4650,0.135445795805476,"lan fin","genus"
"ano fin.11",1650,0.016824019649888,"ano fin","genus"
"ano fin.21",2150,0.0351205049637163,"ano fin","genus"
"ano fin.31",2650,0,"ano fin","genus"
"ano fin.41",3150,0,"ano fin","genus"
"ano fin.51",3650,0.0267043033594988,"ano fin","genus"
"ano fin.61",4150,0,"ano fin","genus"
"ano fin.71",4650,0,"ano fin","genus"
"bon vol.11",150,0.414701394347258,"bon vol","genus"
"bon vol.21",650,0.74643084183488,"bon vol","genus"
"bon vol.31",1150,0.160259670737355,"bon vol","genus"
"bon vol.41",2150,0.0741755388807226,"bon vol","genus"
"bon vol.51",2650,0.0258080765308312,"bon vol","genus"
"bon vol.61",3150,0.0973097079104746,"bon vol","genus"
