original,standardisation_1,standardisation_1_reason,standardisation_2,standardisation_2_reason
Dodonea Type,Dodonaea,spelling and removed notation,Sapindaceae,aggregated up
Dolicholobium,Dolicholobium,,Dolicholobium,
Dracaena,Dracaena,,Dracaena,
Dryopteridaceae/Polypodiaceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Dysoxylum,Dysoxylum,,Dysoxylum,
Dysoxylum sp.,Dysoxylum,removed notation,Dysoxylum,removed notation
Elaeocarpaceae,Elaeocarpaceae,,Elaeocarpaceae,
Elaeocarpus,Elaeocarpus,,Elaeocarpus,
Elaeocarpus comp.,Elaeocarpus,removed notation,Elaeocarpaceae,aggregated up
Elaeocarpus?,Elaeocarpus,removed notation,Elaeocarpaceae,aggregated up
Elaeoecarpus sp.,Elaeocarpus,spelling and removed notation,Elaeocarpus,spelling
Elattostachys,Elattostachys,,Elattostachys,
Eleocharis,Eleocharis,,Eleocharis,
Eleocharis comp.,Eleocharis,removed notation,Cyperaceae,aggregated up
Embelia,Embelia,,Embelia,
Endospermum,Endospermum,,Endospermum,
EPACRIDACEAE,Ericaceae,synonym,Ericaceae,synonym
Epacrideae,Ericaceae,synonym,Ericaceae,synonym and aggregated up
Erythrina,Erythrina,,Erythrina,
Erythrina variegata,Erythrina variegata,,Erythrina variegata,
ESCALLIONACEAE,Escalloniaceae,spelling,Escalloniaceae,spelling
Euodia,Euodia,,Euodia,
Euphorbia,Euphorbia,,Euphorbia,
Euphorbia ?,Euphorbia,removed notation,Euphorbiaceae,aggregated up
Euphorbia comp. Seprns sim.,Euphorbia balbisii,synonym and removed notation,Euphorbiaceae,aggregated up
Euphorbia sim.,Euphorbia,removed notation,Euphorbiaceae,aggregated up
Euphorbiaceae,Euphorbiaceae,,Euphorbiaceae,
Euphorbiaceae type,Euphorbiaceae,removed notation,remove,uncertainty greater than family level
Euphorbiaceae undif.,Euphorbiaceae,removed notation,Euphorbiaceae,removed notation
EUPHORBIACEAE Undiff,Euphorbiaceae,removed notation,Euphorbiaceae,removed notation
Euphorbiaceae undiff.,Euphorbiaceae,removed notation,Euphorbiaceae,removed notation
Euroshinus Type,Euroschinus,spelling and removed notation,Anacardiaceae,aggregated up
Excoecaria,Excoecaria,,Excoecaria,
Excoecaria sim.,Excoecaria,removed notation,Euphorbiaceae,aggregated up
Exocaria comp.,Excoecaria,spelling and removed notation,Euphorbiaceae,aggregated up
Exocarpos,Exocarpos,,Exocarpos,
Fabaceae,Fabaceae,,Fabaceae,
Fabaceae (type 1),Fabaceae,removed notation,Fabaceae,removed notation
Fabaceae (type 2),Fabaceae,removed notation,Fabaceae,removed notation
Fabaceae undif.,Fabaceae,removed notation,Fabaceae,removed notation
Fabaceae undiff.,Fabaceae,removed notation,Fabaceae,removed notation
Fagraea,Fagraea,,Fagraea,
Ficus,Ficus,,Ficus,
Filices- Monolete Asplenium,Asplenium,removed notation,Asplenium,removed notation
Filices- Monolete Lepisorus  sim.,Lepisorus,removed notation,Polypodiaceae,aggregated up
Filices- monolete psilate,remove,uncertain type,remove,uncertain type
Filices- Monolete Psilete Folded,remove,uncertain type,remove,uncertain type
Filices- Monolete Psilete Large,remove,uncertain type,remove,uncertain type
Filices- Monolete Psilete Small,remove,uncertain type,remove,uncertain type
Filices- Monolete Stenochlaena palust.,Stenochlaena palustris,removed notation,Stenochlaena palustris,removed notation
Filices- monolete verrucate/ oreolate,remove,uncertain type,remove,uncertain type
Filices- Trilete Hymenophyllaceae Comp.,Hymenophyllaceae,removed notation,remove,uncertainty greater than family level
Filices- trilete psilate,remove,uncertain type,remove,uncertain type
Filices- trilete verrucate,remove,uncertain type,remove,uncertain type
Fimbristylis,Fimbristylis,,Fimbristylis,
Flacourtiaceae,Salicaceae,synonym,Salicaceae,synonym
FLACOURTICEAE,Salicaceae,synonym,Salicaceae,synonym
Flagellaria,Flagellaria,,Flagellaria,
Flagellariaceae,Flagellariaceae,,Flagellariaceae,
Foraminifera,remove,not pollen/spore,remove,not pollen/spore
Freycinetia,Freycinetia,,Freycinetia,
Freycinetia comp.,Freycinetia,removed notation,Pandanaceae,aggregated up
Freycinetia sp.,Freycinetia,removed notation,Freycinetia,aggregated up
Freyeinetia,Freycinetia,spelling,Freycinetia,spelling
Fuscospora,Nothofagus,synonym,Nothofagus,synonym
Garcinia,Garcinia,,Garcinia,
Gardenia,Gardenia,,Gardenia,
Garuga,Garuga,,Garuga,
gemmate monolete,remove,uncertain type,remove,uncertain type
Geniostoma,Geniostoma,,Geniostoma,
Geniostoma Type,Geniostoma,removed notation,Loganiaceae,aggregated up
Geranium retrorsum group,Geranium retrorsum,removed notation,Geranium,aggregated up
GESNERIACEAE,Gesneriaceae,,Gesneriaceae,
Glochidion,Glochidion,,Glochidion,
Glochidion Type,Glochidion,removed notation,Phyllanthaceae,aggregated up
Gonocarpus,Combretum,synonym,Combretum,synonym
